Tipo de obra,Actividad
Construcción vial y obras nuevas,Replanteo topográfico de obras
Construcción vial y obras nuevas,Instalación de faena
Construcción vial y obras nuevas,Desvíos y gestión de tránsito de obra
Construcción vial y obras nuevas,Construcción de calzada nueva
Construcción vial y obras nuevas,Construcción de bermas
Construcción vial y obras nuevas,Construcción de calles de servicio
Construcción vial y obras nuevas,Construcción de enlaces y ramales
Construcción vial y obras nuevas,Construcción de ciclovías
Construcción vial y obras nuevas,Construcción de aceras y rutas peatonales
Construcción vial y obras nuevas,Construcción de mediana y bandejón
Construcción vial y obras nuevas,Construcción de puentes y pasos desnivelados
Construcción vial y obras nuevas,Construcción de pasarelas peatonales
Construcción vial y obras nuevas,Excavación y construcción de pilotes
Construcción vial y obras nuevas,Hincado de pilotes
Construcción vial y obras nuevas,Montaje de vigas prefabricadas
Construcción vial y obras nuevas,Construcción de pórticos y estructuras viales
Construcción vial y obras nuevas,Reposición de pavimentos por intervención de servicios
Construcción vial y obras nuevas,Pruebas - puesta en servicio y recepción de obras
Drenaje - saneamiento y cauces,Limpieza de fosos - contrafosos y canales
Drenaje - saneamiento y cauces,Reconformación de fosos - contrafosos y canales
Drenaje - saneamiento y cauces,Limpieza de cunetas y soleras
Drenaje - saneamiento y cauces,Reconstrucción de cunetas revestidas
Drenaje - saneamiento y cauces,Limpieza de alcantarillas y sifones
Drenaje - saneamiento y cauces,Retiro de sedimentos en alcantarillas y sifones
Drenaje - saneamiento y cauces,Conservación y reparación de alcantarillas
Drenaje - saneamiento y cauces,Instalación de tubos de alcantarilla
Drenaje - saneamiento y cauces,Construcción de cabezales de alcantarilla
Drenaje - saneamiento y cauces,Construcción de sumideros
Drenaje - saneamiento y cauces,Limpieza de sumideros
Drenaje - saneamiento y cauces,Reposición de tapas y rejillas de sumideros
Drenaje - saneamiento y cauces,Limpieza de bajadas de aguas lluvia
Drenaje - saneamiento y cauces,Construcción de bajadas de agua
Drenaje - saneamiento y cauces,Instalación de drenes longitudinales
Drenaje - saneamiento y cauces,Recambio de drenes longitudinales
Drenaje - saneamiento y cauces,Construcción de subdrenes
Drenaje - saneamiento y cauces,Limpieza de cauces de ríos
Drenaje - saneamiento y cauces,Conservación de cauces
Drenaje - saneamiento y cauces,Construcción de gaviones de protección
Drenaje - saneamiento y cauces,Construcción de enrocados de protección
Drenaje - saneamiento y cauces,Limpieza y mantención de trampas de grasa
Faja vial - paisajismo y servicios generales,Limpieza de faja vial y control de vegetación
Faja vial - paisajismo y servicios generales,Roce y desbroce de vegetación
Faja vial - paisajismo y servicios generales,Poda de árboles
Faja vial - paisajismo y servicios generales,Tala controlada de árboles
Faja vial - paisajismo y servicios generales,Mantenimiento de paisajismo
